Game: cmaseVSminimax with 50 epochs
Start: 2024-11-12T16:18:16.061980
Round 0: draw
Round 0: 2024-11-12T16:25:16.442527
Round 1: draw
Round 2: draw
Round 3: cmaes
Round 4: cmaes
Round 5: draw
Round 5: 2024-11-12T16:57:20.315828
Round 6: draw
Round 7: cmaes
Round 8: draw
Round 9: draw
Round 10: draw
Round 10: 2024-11-12T17:25:26.619948
Round 11: cmaes
Round 12: draw
Round 13: cmaes
Round 14: draw
Round 15: minimax
Round 15: 2024-11-12T17:52:03.585638
Round 16: draw
Round 17: minimax
Round 18: draw
Round 19: draw
Round 20: draw
Round 20: 2024-11-12T18:21:38.937835
Round 21: draw
Round 22: draw
Round 23: draw
Round 24: draw
Round 25: draw
Round 25: 2024-11-12T18:50:32.983180
Round 26: draw
Round 27: cmaes
Round 28: draw
Round 29: draw
Round 30: draw
Round 30: 2024-11-12T19:16:34.440807
Round 31: draw
Round 32: draw
Round 33: draw
Round 34: draw
Round 35: draw
Round 35: 2024-11-12T19:44:18.363975
Round 36: draw
Round 37: minimax
Round 38: cmaes
Round 39: draw
Round 40: draw
Round 40: 2024-11-12T20:12:35.472646
Round 41: draw
Round 42: draw
Round 43: cmaes
Round 44: draw
Round 45: draw
Round 45: 2024-11-12T20:41:48.214863
Round 46: draw
Round 47: draw
Round 48: draw
Round 49: draw
Game: cmaseVSminimax with 50 epochs
Start: 2024-11-13T17:38:28.389906
Round 15: draw
Round 15: 2024-11-13T17:43:51.287376
Round 16: cmaes
Round 17: draw
Round 18: draw
Round 19: draw
Round 20: draw
Round 20: 2024-11-13T18:07:02.606648
Round 21: draw
Round 22: draw
Round 23: draw
Round 24: cmaes
Round 25: cmaes
Round 25: 2024-11-13T18:34:09.012731
Round 26: draw
Round 27: cmaes
Round 28: draw
Round 29: cmaes
Round 30: draw
Round 30: 2024-11-13T19:02:14.069972
Round 31: draw
Round 32: cmaes
Round 33: draw
Round 34: draw
Round 35: draw
Round 35: 2024-11-13T19:26:53.002227
Round 36: draw
Round 37: draw
Round 38: draw
Round 39: draw
Round 40: draw
Round 40: 2024-11-13T19:52:56.923204
Round 41: cmaes
Round 42: draw
Round 43: draw
Round 44: draw
Round 45: cmaes
Round 45: 2024-11-13T20:20:17.667954
Round 46: draw
Round 47: cmaes
Round 48: draw
Round 49: draw
Round 50: draw
Round 50: 2024-11-13T20:45:16.883469
Round 51: draw
Round 52: draw
Round 53: draw
Round 54: draw
Round 55: draw
Round 55: 2024-11-13T21:11:41.888554
Round 56: draw
Round 57: draw
Round 58: draw
Round 59: draw
Round 60: draw
Round 60: 2024-11-13T21:36:26.855449
Round 61: draw
Round 62: draw
Round 63: draw
Round 64: draw
