Game: randomVScmaes with 50 epochs
Start: 2024-11-12T16:18:16.061387
Round 0: cmaes
Round 0: 2024-11-12T16:20:43.459103
Round 1: cmaes
Round 2: cmaes
Round 3: cmaes
Round 4: cmaes
Round 5: cmaes
Round 5: 2024-11-12T16:38:37.112227
Round 6: random
Round 7: cmaes
Round 8: cmaes
Round 9: cmaes
Round 10: cmaes
Round 10: 2024-11-12T16:55:08.151437
Round 11: draw
Round 12: draw
Round 13: cmaes
Round 14: cmaes
Round 15: cmaes
Round 15: 2024-11-12T17:08:27.729720
Round 16: draw
Round 17: cmaes
Round 18: cmaes
Round 19: cmaes
Round 20: draw
Round 20: 2024-11-12T17:22:36.923292
Round 21: cmaes
Round 22: draw
Round 23: cmaes
Round 24: cmaes
Round 25: cmaes
Round 25: 2024-11-12T17:38:19.714741
Round 26: cmaes
Round 27: cmaes
Round 28: cmaes
Round 29: draw
Round 30: cmaes
Round 30: 2024-11-12T17:54:32.617847
Round 31: cmaes
Round 32: draw
Round 33: draw
Round 34: cmaes
Round 35: cmaes
Round 35: 2024-11-12T18:09:43.330709
Round 36: cmaes
Round 37: draw
Round 38: cmaes
Round 39: cmaes
Round 40: cmaes
Round 40: 2024-11-12T18:23:26.268562
Round 41: cmaes
Round 42: cmaes
Round 43: cmaes
Round 44: cmaes
Round 45: draw
Round 45: 2024-11-12T18:40:39.920859
Round 46: cmaes
Round 47: cmaes
Round 48: cmaes
Round 49: cmaes
Round 51: cmaes
Round 52: draw
Round 53: draw
Round 54: cmaes
Round 55: cmaes
Round 55: 2024-11-13T19:49:22.551830
Round 56: cmaes
Round 57: cmaes
Round 58: draw
Round 59: cmaes
Round 60: cmaes
Round 60: 2024-11-13T20:05:06.438486
Round 61: cmaes
Round 62: cmaes
Round 63: cmaes
Round 64: cmaes
