Game: randomVSminimax with 15 epochs
Start: 2024-11-12T16:18:16.056813
Round 0: minimax
Round 0: 2024-11-12T16:19:15.208361
Round 1: minimax
Round 2: minimax
Round 3: minimax
Round 4: minimax
Round 5: draw
Round 5: 2024-11-12T16:24:56.695875
Round 6: draw
Round 7: minimax
Round 8: minimax
Round 9: minimax
Round 10: minimax
Round 10: 2024-11-12T16:30:36.542479
Round 11: minimax
Round 12: minimax
Round 13: minimax
Round 14: minimax
Game: randomVSminimax with 35 epochs
Start: 2024-11-13T00:03:48.386385
Round 15: minimax
Round 15: 2024-11-13T00:04:36.791140
Round 16: draw
Round 17: draw
Round 18: draw
Round 19: minimax
Round 20: minimax
Round 20: 2024-11-13T00:10:39.548865
Round 21: minimax
Round 22: draw
Round 23: minimax
Round 24: minimax
Round 25: minimax
Round 25: 2024-11-13T00:16:51.439344
Round 26: minimax
Round 27: minimax
Round 28: draw
Round 29: draw
Round 30: minimax
Round 30: 2024-11-13T00:22:16.662835
Round 31: minimax
Round 32: minimax
Round 33: minimax
Round 34: draw
Round 35: minimax
Round 35: 2024-11-13T00:27:29.756172
Round 36: minimax
Round 37: minimax
Round 38: minimax
Round 39: minimax
Round 40: minimax
Round 40: 2024-11-13T00:32:04.562839
Round 41: draw
Round 42: minimax
Round 43: minimax
Round 44: minimax
Round 45: draw
Round 45: 2024-11-13T00:37:47.385655
Round 46: minimax
Round 47: minimax
Round 48: minimax
Round 49: minimax
Game: randomVSminimax with 50 epochs
Start: 2024-11-13T17:38:28.387893
Round 15: minimax
Round 15: 2024-11-13T17:39:44.175512
Round 16: draw
Round 17: minimax
Round 18: draw
Round 19: minimax
Round 20: minimax
Round 20: 2024-11-13T17:45:12.072462
Round 21: draw
Round 22: minimax
Round 23: draw
Round 24: draw
Round 25: minimax
Round 25: 2024-11-13T17:51:00.296157
Round 26: minimax
Round 27: minimax
Round 28: minimax
Round 29: minimax
Round 30: minimax
Round 30: 2024-11-13T17:55:46.936301
Round 31: minimax
Round 32: draw
Round 33: draw
Round 34: minimax
Round 35: draw
Round 35: 2024-11-13T18:01:20.665110
Round 36: draw
Round 37: minimax
Round 38: minimax
Round 39: minimax
Round 40: minimax
Round 40: 2024-11-13T18:06:49.722719
Round 41: draw
Round 42: minimax
Round 43: minimax
Round 44: draw
Round 45: draw
Round 45: 2024-11-13T18:12:59.297226
Round 46: minimax
Round 47: minimax
Round 48: minimax
Round 49: minimax
Round 50: draw
Round 50: 2024-11-13T18:17:57.617068
Round 51: minimax
Round 52: minimax
Round 53: minimax
Round 54: minimax
Round 55: draw
Round 55: 2024-11-13T18:22:56.495166
Round 56: minimax
Round 57: minimax
Round 58: minimax
Round 59: draw
Round 60: minimax
Round 60: 2024-11-13T18:27:52.953761
Round 61: minimax
Round 62: minimax
Round 63: minimax
Round 64: minimax
